Nome;Email;Estado
Batman;batman@siteware.com.br;MG
Homem Aranha;homemAranha@siteware.com.br;SP
Hulk;hulk@siteware.com.br;SP
Capitão America;capitaoamerica@siteware.com.br;ES
Flash;flash@siteware.com.br;AC
Aquaman;aquaman@siteware.com.br;RJ
Batman;batmam@siteware.com.br;SP
Thor;thor@siteware.com.br;RJ
Homem de Ferro;ironman@siteware.com.br;BA
Luffy;luffy@siteware.com.br;BA
Goku;goku@siteware.com.br;RS
Gamora;gamora@siteware.com.br;RS
Estelar;estelar@siteware.com.br;MT
Wanda Maximoff;wandamaximoff@siteware.com.br;PR
Carol Danvers;caroldanvers@siteware.com.br;PR
Jean Grey;jeangrey@siteware.com.br;AM
