DataVenda;Status;EmailUsuario;Produto;;;;
01/01/2020;Faturado;batman@siteware.com.br;Notebook Dell;;;;
01/01/2020;Faturado;batman@siteware.com.br;Teclado Logitech;;;;
01/01/2020;Cancelado;batman@siteware.com.br;Monitor Acer;;;;
01/01/2020;Cancelado;homemAranha@siteware.com.br;Samsung Galaxy S20;;;;
01/01/2020;Faturado;homemAranha@siteware.com.br;Moto G8;;;;
01/01/2020;Cancelado;homemAranha@siteware.com.br;Xbox Series X;;;;
01/01/2020;Cancelado;homemAranha@siteware.com.br;PS5;;;;
01/01/2020;Faturado;homemAranha@siteware.com.br;Nintendo Switch;;;;
01/01/2020;Cancelado;homemAranha@siteware.com.br;PS4;;;;
01/01/2020;Faturado;hulk@siteware.com.br;Notebook Dell;;;;
01/01/2020;Faturado;batman@siteware.com.br;Teclado Logitech;;;;
01/01/2020;Faturado;capitaoamerica@siteware.com.br;Mouse;;;;
01/01/2020;Cancelado;aquaman@siteware.com.br;Monitor Acer;;;;
01/01/2020;Cancelado;flash@siteware.com.br;Iphone 12;;;;
01/01/2020;Faturado;thor@siteware.com.br;Samsung Galaxy S20;;;;
01/01/2020;Faturado;ironman@siteware.com.br;Moto G8;;;;
01/01/2020;Faturado;goku@siteware.com.br;Xiaomi Redmi Note 7;;;;
01/01/2020;Cancelado;estelar@siteware.com.br;Xbox Series X;;;;
01/01/2020;Faturado;jeangrey@siteware.com.br;PS5;;;;
01/02/2020;Faturado;homemAranha@siteware.com.br;Notebook Dell;;;;
01/02/2020;Faturado;hulk@siteware.com.br;Teclado Logitech;;;;
01/02/2020;Faturado;capitaoamerica@siteware.com.br;Mouse;;;;
01/02/2020;Cancelado;flash@siteware.com.br;Monitor Acer;;;;
01/02/2020;Faturado;aquaman@siteware.com.br;Iphone 12;;;;
01/02/2020;Faturado;thor@siteware.com.br;Samsung Galaxy S20;;;;
01/02/2020;Cancelado;ironman@siteware.com.br;Moto G8;;;;
01/02/2020;Cancelado;jeangrey@siteware.com.br;Xbox Series X;;;;
01/02/2020;Faturado;aquaman@siteware.com.br;Notebook Dell;;;;
01/02/2020;Faturado;capitaoamerica@siteware.com.br;Teclado Logitech;;;;
01/02/2020;Faturado;hulk@siteware.com.br;Mouse;;;;
01/02/2020;Cancelado;ironman@siteware.com.br;Monitor Acer;;;;
01/02/2020;Faturado;gamora@siteware.com.br;Iphone 12;;;;
01/02/2020;Faturado;estelar@siteware.com.br;Samsung Galaxy S20;;;;
01/02/2020;Faturado;ironman@siteware.com.br;Moto G8;;;;
01/02/2020;Cancelado;luffy@siteware.com.br;Xiaomi Redmi Note 7;;;;
01/02/2020;Cancelado;batman@siteware.com.br;Xbox Series X;;;;
01/02/2020;Cancelado;jeangrey@siteware.com.br;PS5;;;;
01/04/2020;Faturado;gamora@siteware.com.br;Notebook Dell;;;;
01/04/2020;Faturado;estelar@siteware.com.br;Teclado Logitech;;;;
01/04/2020;Faturado;thor@siteware.com.br;Mouse;;;;
01/04/2020;Cancelado;luffy@siteware.com.br;Monitor Acer;;;;
01/04/2020;Faturado;capitaoamerica@siteware.com.br;Xiaomi Redmi Note 7;;;;
01/04/2020;Faturado;thor@siteware.com.br;PS5;;;;
01/04/2020;Faturado;ironman@siteware.com.br;Nintendo Switch;;;;
01/04/2020;Cancelado;luffy@siteware.com.br;PS4;;;;
01/04/2020;Faturado;wandamaximoff@siteware.com.br;Notebook Dell;;;;
01/04/2020;Cancelado;estelar@siteware.com.br;Teclado Logitech;;;;
01/04/2020;Faturado;gamora@siteware.com.br;Mouse;;;;
01/04/2020;Cancelado;goku@siteware.com.br;Monitor Acer;;;;
01/04/2020;Faturado;thor@siteware.com.br;Samsung Galaxy S20;;;;
01/04/2020;Faturado;ironman@siteware.com.br;Moto G8;;;;
01/04/2020;Faturado;luffy@siteware.com.br;Xiaomi Redmi Note 7;;;;
01/04/2020;Cancelado;jeangrey@siteware.com.br;Xbox Series X;;;;
01/04/2020;Faturado;homemAranha@siteware.com.br;PS5;;;;
01/03/2020;Faturado;jeangrey@siteware.com.br;Notebook Dell;;;;
01/03/2020;Faturado;caroldanvers@siteware.com.br;Teclado Logitech;;;;
01/03/2020;Faturado;wandamaximoff@siteware.com.br;Mouse;;;;
01/03/2020;Cancelado;estelar@siteware.com.br;Monitor Acer;;;;
01/03/2020;Cancelado;gamora@siteware.com.br;Iphone 12;;;;
01/03/2020;Cancelado;goku@siteware.com.br;Samsung Galaxy S20;;;;
01/03/2020;Cancelado;luffy@siteware.com.br;Moto G8;;;;
01/03/2020;Cancelado;thor@siteware.com.br;Xbox Series X;;;;
01/03/2020;Faturado;aquaman@siteware.com.br;PS5;;;;
01/03/2020;Faturado;capitaoamerica@siteware.com.br;PS4;;;;
01/03/2020;Faturado;hulk@siteware.com.br;Notebook Dell;;;;
01/03/2020;Faturado;homemAranha@siteware.com.br;Teclado Logitech;;;;
01/03/2020;Cancelado;batman@siteware.com.br;Monitor Acer;;;;
01/03/2020;Faturado;batmam@siteware.com.br;Iphone 12;;;;
01/03/2020;Faturado;jeangrey@siteware.com.br;Samsung Galaxy S20;;;;
01/03/2020;Faturado;jeangrey@siteware.com.br;Moto G8;;;;
01/03/2020;Faturado;batman@siteware.com.br;Xiaomi Redmi Note 7;;;;
01/03/2020;Cancelado;flash@siteware.com.br;Xbox Series X;;;;
01/03/2020;Faturado;estelar@siteware.com.br;PS5;;;;
01/05/2020;Faturado;jeangrey@siteware.com.br;Notebook Dell;;;;
01/05/2020;Cancelado;caroldanvers@siteware.com.br;Monitor Acer;;;;
01/05/2020;Faturado;estelar@siteware.com.br;Samsung Galaxy S20;;;;
01/05/2020;Faturado;estelar@siteware.com.br;Moto G8;;;;
01/05/2020;Cancelado;gamora@siteware.com.br;Xiaomi Redmi Note 7;;;;
01/05/2020;Cancelado;gamora@siteware.com.br;Xbox Series X;;;;
01/05/2020;Faturado;goku@siteware.com.br;PS5;;;;
01/05/2020;Faturado;goku@siteware.com.br;Nintendo Switch;;;;
01/05/2020;Faturado;luffy@siteware.com.br;PS4;;;;
01/05/2020;Faturado;ironman@siteware.com.br;Notebook Dell;;;;
01/05/2020;Cancelado;aquaman@siteware.com.br;Mouse;;;;
01/05/2020;Cancelado;flash@siteware.com.br;Monitor Acer;;;;
01/05/2020;Faturado;capitaoamerica@siteware.com.br;Iphone 12;;;;
01/05/2020;Cancelado;hulk@siteware.com.br;Samsung Galaxy S20;;;;
01/05/2020;Faturado;homemAranha@siteware.com.br;Moto G8;;;;
01/05/2020;Faturado;batman@siteware.com.br;Xiaomi Redmi Note 7;;;;
01/05/2020;Cancelado;batman@siteware.com.br;Xbox Series X;;;;
01/06/2020;Faturado;batmam@siteware.com.br;Notebook Dell;;;;
01/06/2020;Faturado;batman@siteware.com.br;Teclado Logitech;;;;
01/06/2020;Faturado;homemAranha@siteware.com.br;Mouse;;;;
01/06/2020;Cancelado;homemAranha@siteware.com.br;Monitor Acer;;;;
01/06/2020;Faturado;hulk@siteware.com.br;Iphone 12;;;;
01/06/2020;Faturado;hulk@siteware.com.br;Samsung Galaxy S20;;;;
01/06/2020;Faturado;capitaoamerica@siteware.com.br;Moto G8;;;;
01/06/2020;Faturado;capitaoamerica@siteware.com.br;Xiaomi Redmi Note 7;;;;
01/06/2020;Cancelado;jeangrey@siteware.com.br;Xbox Series X;;;;
01/06/2020;Cancelado;flash@siteware.com.br;PS5;;;;
01/06/2020;Faturado;aquaman@siteware.com.br;Nintendo Switch;;;;
01/06/2020;Faturado;aquaman@siteware.com.br;PS4;;;;
01/06/2020;Cancelado;thor@siteware.com.br;Notebook Dell;;;;
01/06/2020;Faturado;thor@siteware.com.br;Teclado Logitech;;;;
01/06/2020;Faturado;ironman@siteware.com.br;Mouse;;;;
01/06/2020;Cancelado;ironman@siteware.com.br;Monitor Acer;;;;
01/06/2020;Faturado;luffy@siteware.com.br;Iphone 12;;;;
01/06/2020;Faturado;goku@siteware.com.br;Samsung Galaxy S20;;;;
01/06/2020;Faturado;gamora@siteware.com.br;Moto G8;;;;
01/06/2020;Cancelado;estelar@siteware.com.br;Xiaomi Redmi Note 7;;;;
01/06/2020;Cancelado;wandamaximoff@siteware.com.br;Xbox Series X;;;;
01/06/2020;Faturado;caroldanvers@siteware.com.br;PS5;;;;
01/07/2020;Faturado;goku@siteware.com.br;Notebook Dell;;;;
01/07/2020;Faturado;luffy@siteware.com.br;Teclado Logitech;;;;
01/07/2020;Faturado;ironman@siteware.com.br;Mouse;;;;
01/07/2020;Cancelado;thor@siteware.com.br;Monitor Acer;;;;
01/07/2020;Faturado;aquaman@siteware.com.br;Iphone 12;;;;
01/07/2020;Cancelado;homemAranha@siteware.com.br;Xbox Series X;;;;
01/07/2020;Faturado;batman@siteware.com.br;PS5;;;;
01/07/2020;Faturado;batman@siteware.com.br;Nintendo Switch;;;;
01/07/2020;Faturado;homemAranha@siteware.com.br;PS4;;;;
01/07/2020;Faturado;hulk@siteware.com.br;Notebook Dell;;;;
01/07/2020;Faturado;capitaoamerica@siteware.com.br;Teclado Logitech;;;;
01/07/2020;Faturado;flash@siteware.com.br;Mouse;;;;
01/07/2020;Cancelado;aquaman@siteware.com.br;Monitor Acer;;;;
01/07/2020;Faturado;thor@siteware.com.br;Iphone 12;;;;
01/07/2020;Faturado;ironman@siteware.com.br;Samsung Galaxy S20;;;;
01/07/2020;Faturado;luffy@siteware.com.br;Moto G8;;;;
01/07/2020;Faturado;goku@siteware.com.br;Xiaomi Redmi Note 7;;;;
01/07/2020;Cancelado;goku@siteware.com.br;Xbox Series X;;;;
01/07/2020;Faturado;estelar@siteware.com.br;PS5;;;;
01/08/2020;Faturado;estelar@siteware.com.br;Notebook Dell;;;;
01/08/2020;Faturado;gamora@siteware.com.br;Teclado Logitech;;;;
01/08/2020;Faturado;goku@siteware.com.br;Mouse;;;;
01/08/2020;Cancelado;goku@siteware.com.br;Monitor Acer;;;;
01/08/2020;Faturado;gamora@siteware.com.br;Iphone 12;;;;
01/08/2020;Faturado;flash@siteware.com.br;Moto G8;;;;
01/08/2020;Faturado;thor@siteware.com.br;Xiaomi Redmi Note 7;;;;
01/08/2020;Cancelado;ironman@siteware.com.br;Xbox Series X;;;;
01/08/2020;Faturado;luffy@siteware.com.br;PS5;;;;
01/08/2020;Faturado;goku@siteware.com.br;Nintendo Switch;;;;
01/08/2020;Cancelado;caroldanvers@siteware.com.br;PS4;;;;
01/08/2020;Cancelado;wandamaximoff@siteware.com.br;Notebook Dell;;;;
01/08/2020;Faturado;estelar@siteware.com.br;Teclado Logitech;;;;
01/08/2020;Faturado;gamora@siteware.com.br;Mouse;;;;
01/08/2020;Cancelado;goku@siteware.com.br;Monitor Acer;;;;
01/08/2020;Cancelado;goku@siteware.com.br;Iphone 12;;;;
01/08/2020;Faturado;batman@siteware.com.br;Samsung Galaxy S20;;;;
01/08/2020;Faturado;homemAranha@siteware.com.br;Moto G8;;;;
01/08/2020;Faturado;hulk@siteware.com.br;Xiaomi Redmi Note 7;;;;
01/08/2020;Cancelado;flash@siteware.com.br;Xbox Series X;;;;
